date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:54	99608/99608	---M--	200	added ('OK')	image/png	etag:%2218518-645e9abfd7719%22	http://103.158.133.62/assets/images/sony-ten3.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/sony-ten3.png	(from http://103.158.133.62/)
14:56:59	99227/99227	---M--	200	added ('OK')	image/png	etag:%221839b-645e9abfff7b9%22	http://103.158.133.62/assets/images/sony-ten5.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/sony-ten5.png	(from http://103.158.133.62/)
14:57:00	540902/540902	---M--	200	added ('OK')	image/jpeg	etag:%22840e6-64600bbf69b1d%22	http://103.158.133.62/background.jpg?v=2	C:/Users/USER/Downloads/aa/103.158.133.62/background5e1f.jpg	(from http://103.158.133.62/)
14:57:01	80315/80315	---M--	200	added ('OK')	image/png	etag:%22139bb-645e9ac0eebd8%22	http://103.158.133.62/assets/images/star-sports-1.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/star-sports-1.png	(from http://103.158.133.62/)
14:57:06	69320/69320	---M--	200	added ('OK')	image/png	etag:%2210ec8-645e9ac1321f7%22	http://103.158.133.62/assets/images/star-sports-3.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/star-sports-3.png	(from http://103.158.133.62/)
14:57:08	87668/87668	---M--	200	added ('OK')	image/png	etag:%2215674-645e9ac1592f7%22	http://103.158.133.62/assets/images/star-sports-select-1.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/star-sports-select-1.png	(from http://103.158.133.62/)
14:57:18	18426/18426	---M--	200	added ('OK')	image/png	etag:%2247fa-64717c92934de%22	http://103.158.133.62/assets/images/eurosports.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/eurosports.png	(from http://103.158.133.62/)
14:57:19	93429/93429	---M--	200	added ('OK')	image/png	etag:%2216cf5-645e9abd7bedc%22	http://103.158.133.62/assets/images/ptv.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/ptv.png	(from http://103.158.133.62/)
14:57:19	87683/87683	---M--	200	added ('OK')	image/png	etag:%2215683-645e9ac17f457%22	http://103.158.133.62/assets/images/star-sports-select-2.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/star-sports-select-2.png	(from http://103.158.133.62/)
14:57:20	79430/79430	---M--	200	added ('OK')	image/png	etag:%2213646-645e9ab67bf05%22	http://103.158.133.62/assets/images/a-sports.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/a-sports.png	(from http://103.158.133.62/)
14:57:21	23957/23957	---M--	200	added ('OK')	image/png	etag:%225d95-6471707dfd6c8%22	http://103.158.133.62/assets/images/ten-cricket.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/ten-cricket.png	(from http://103.158.133.62/)
14:57:25	53436/53436	---M--	200	added ('OK')	image/png	etag:%22d0bc-64ac6ccc6cd1d%22	http://103.158.133.62/assets/images/ddsports.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/ddsports.png	(from http://103.158.133.62/)
14:57:25	14626/14626	---M--	200	added ('OK')	image/png	etag:%223922-64ac6dacc077f%22	http://103.158.133.62/assets/images/nbcsports.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/nbcsports.png	(from http://103.158.133.62/)
14:57:27	18817/18817	---M--	200	added ('OK')	image/png	etag:%224981-64ac6f4d29e06%22	http://103.158.133.62/assets/images/sports-tv.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/sports-tv.png	(from http://103.158.133.62/)
14:57:29	29295/29295	---M--	200	added ('OK')	image/png	etag:%22726f-64ac70fbfdb63%22	http://103.158.133.62/assets/images/sports-first.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/sports-first.png	(from http://103.158.133.62/)
14:57:32	34151/34151	---M--	200	added ('OK')	image/png	etag:%228567-64ac717ced7a3%22	http://103.158.133.62/assets/images/goal-tv.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/goal-tv.png	(from http://103.158.133.62/)
14:57:35	28928/28928	---M--	200	added ('OK')	image/png	etag:%227100-64ac728f757e4%22	http://103.158.133.62/assets/images/xtream-sports.png	C:/Users/USER/Downloads/aa/103.158.133.62/assets/images/xtream-sports.png	(from http://103.158.133.62/)
